917,102,(0|520),4.663558,[107|77|36]
1764,5,(409|564),3.3682878,[184|157|115]
1767,204,(0|721),3.7540774,[163|178|171]
917,349,(234|289),4.008218,[94|46|27]
917,189,(290|561),2.8812783,[88|66|45]
917,164,(182|109),4.5627437,[102|51|29]
917,206,(741|391),4.707613,[117|58|30]
1764,172,(143|737),2.5723317,[91|101|79]
1767,149,(638|742),4.6625032,[152|156|138]
917,288,(641|592),4.8151803,[234|242|225]
917,331,(425|0),4.2683625,[97|49|28]
1767,273,(511|692),2.7592585,[223|226|204]
917,269,(826|645),4.083234,[232|236|216]
1764,302,(827|115),4.8334723,[82|32|26]
917,264,(391|840),2.3978307,[216|214|185]
917,57,(56|0),4.260311,[110|52|30]
917,225,(315|65),3.0650966,[96|48|28]
1764,137,(565|711),2.0477457,[224|225|204]
917,281,(0|880),4.6960382,[77|74|53]
917,336,(850|418),3.6759112,[85|33|26]
917,137,(551|601),4.160585,[231|236|212]
1767,106,(469|706),2.9190676,[92|72|44]
917,205,(489|629),2.951681,[210|207|175]
917,148,(627|833),2.7550883,[229|239|231]
1764,298,(414|904),2.9218936,[178|150|93]
1764,291,(483|836),2.4071622,[70|63|50]
1764,66,(361|217),2.0457344,[119|66|39]
917,102,(128|864),3.924205,[76|79|57]
1764,175,(819|705),1.4128864,[99|83|61]
917,106,(410|228),2.9051332,[236|173|118]
917,320,(540|464),2.2363214,[149|123|88]
917,357,(775|651),2.6946142,[243|251|233]
1764,194,(400|490),2.7911234,[81|63|46]
1764,26,(538|672),1.4132559,[115|101|78]
917,64,(572|742),1.6187488,[146|141|115]
917,76,(632|478),2.0242794,[217|212|185]
917,205,(834|844),2.5981941,[224|228|210]
1764,298,(450|548),2.4306788,[151|110|62]
1764,236,(521|524),2.2536893,[206|188|149]
1764,233,(416|462),2.9758763,[49|35|28]
917,48,(648|668),2.17114,[240|248|231]
917,65,(263|672),2.8734303,[84|70|48]
917,142,(764|763),2.0250883,[65|45|30]
1764,239,(351|823),1.7335734,[91|85|63]
917,305,(70|304),2.0560598,[131|73|33]
1767,309,(340|440),2.5614746,[193|201|190]
917,76,(380|390),1.9557635,[165|176|168]
1764,301,(755|701),1.8894536,[153|152|132]
1764,96,(532|734),1.5172491,[103|89|60]
917,145,(584|789),1.5019685,[231|238|227]
917,62,(103|138),3.0044818,[114|49|29]
1764,222,(402|710),1.4072983,[73|57|41]
917,32,(786|549),2.8591015,[208|201|174]
1764,124,(360|687),1.9402317,[34|45|57]
1766,115,(0|694),3.053604,[192|204|195]
1767,250,(27|696),2.3613546,[93|100|84]
1764,332,(71|655),2.2147522,[91|105|95]
1764,179,(352|620),2.4387412,[151|155|133]
1764,46,(441|815),1.6189127,[47|31|25]
1764,9,(582|465),1.2926972,[105|86|57]
1764,132,(54|766),2.22133,[60|56|46]
917,294,(367|858),1.2463063,[196|200|176]
1764,185,(281|502),1.6490923,[110|116|101]
917,49,(596|540),2.8509889,[227|229|203]
1764,149,(116|766),2.6425552,[105|112|84]
917,65,(518|453),1.9118263,[97|79|57]
1764,268,(360|271),1.937385,[97|45|30]
1764,277,(388|764),1.9083712,[196|190|159]
917,127,(864|515),3.686431,[77|31|26]
1764,276,(486|464),1.7316216,[182|174|145]
917,185,(146|551),1.3309438,[50|39|30]
917,102,(757|98),3.0922315,[81|32|26]
1764,300,(59|720),1.2209297,[155|165|147]
917,297,(346|721),1.7258692,[156|114|51]
1767,203,(719|532),1.8407626,[147|125|85]
1767,213,(853|568),2.0979002,[200|190|164]
917,310,(601|892),1.4680228,[120|114|91]
1764,117,(302|460),1.4179333,[106|114|104]
1764,334,(266|603),1.6737944,[81|65|43]
917,21,(298|699),1.9510036,[53|43|33]
1764,63,(523|873),1.5137666,[83|81|65]
917,359,(139|433),2.9167142,[52|45|35]
1767,158,(810|768),2.3911023,[156|155|132]
1753,295,(421|608),1.9049702,[98|74|45]
1766,95,(0|580),1.7780493,[194|206|197]
917,308,(673|474),1.8758894,[213|205|175]
917,280,(359|242),1.3875148,[157|84|42]
917,48,(35|596),2.3312528,[109|116|97]
917,280,(143|491),2.2273862,[118|87|39]
917,123,(366|543),1.690124,[180|179|160]
917,8,(739|850),2.6403913,[97|86|56]
1764,169,(440|509),1.5930712,[197|172|131]
917,336,(408|620),1.1664281,[41|34|27]
917,177,(821|364),2.4381883,[119|55|30]
917,124,(209|59),2.778892,[109|55|30]
917,160,(333|647),1.6200645,[113|120|98]
917,52,(683|650),3.1932902,[243|252|237]
1764,249,(333|573),1.8679934,[149|110|64]
917,198,(739|468),1.6359712,[57|27|24]
917,81,(725|703),1.2535582,[165|163|142]
1753,102,(394|339),2.4933484,[59|36|29]
917,288,(472|336),3.0088005,[10|13|10]
917,35,(625|697),1.5095989,[235|243|226]
1764,55,(49|363),2.3491874,[47|53|46]
1753,295,(418|675),1.7991282,[218|220|194]
917,183,(31|86),2.8594637,[126|60|29]
917,323,(577|636),2.6917002,[239|248|232]
1753,125,(273|398),2.4003303,[16|16|14]
