1764,215,(68|227),3.8951,[0|0|0]
1753,83,(464|0),6.998892,[1|1|1]
1766,248,(187|36),2.0512135,[5|5|5]
1764,242,(259|266),1.182751,[236|236|236]
1767,345,(471|38),0.99233806,[224|224|224]
1767,16,(419|223),2.1885045,[7|7|7]
1608,57,(0|363),3.9848568,[1|1|1]
1767,36,(130|328),0.90795624,[237|237|237]
1753,184,(26|354),3.529304,[0|0|0]
1767,271,(487|262),2.1282089,[255|255|255]
1767,285,(280|136),1.3637018,[19|19|19]
1753,198,(221|133),1.2307131,[29|29|29]
1767,24,(155|35),1.6986773,[7|7|7]
1764,278,(141|236),3.1036904,[0|0|0]
1767,224,(11|366),1.2786512,[213|213|213]
1767,109,(391|322),2.6219177,[254|254|254]
1764,189,(363|275),2.6811304,[0|0|0]
1753,6,(212|111),1.3086897,[0|0|0]
1767,80,(182|230),1.2789334,[218|218|218]
1766,23,(428|370),2.998339,[0|0|0]
1767,333,(304|97),1.7580973,[85|85|85]
1767,320,(423|19),1.3031609,[241|241|241]
1767,14,(251|84),1.3897017,[253|253|253]
1767,153,(114|268),1.002282,[196|196|196]
1767,117,(183|292),2.09637,[7|7|7]
1764,296,(120|348),1.1638814,[0|0|0]
1766,73,(207|0),1.9483188,[7|7|7]
917,109,(445|150),3.2368457,[0|0|0]
1767,359,(438|294),1.1058066,[29|29|29]
917,82,(216|117),1.1767472,[235|235|235]
1764,59,(433|328),0.5867844,[21|21|21]
917,223,(269|212),1.0025721,[22|22|22]
1753,249,(480|8),7.614184,[0|0|0]
917,143,(460|256),1.0007937,[14|14|14]
1768,147,(446|48),2.1708694,[162|162|162]
1767,297,(149|350),1.6774421,[0|0|0]
1753,10,(296|150),1.6129574,[10|10|10]
1764,195,(176|76),1.0136496,[3|3|3]
917,150,(91|272),0.5976926,[217|217|217]
1767,46,(431|39),0.943979,[221|221|221]
1767,236,(112|304),1.7535772,[0|0|0]
1767,250,(198|84),1.3403336,[231|231|231]
1764,35,(425|70),1.9025353,[0|0|0]
917,54,(356|176),0.54016376,[0|0|0]
1767,326,(210|95),1.3038127,[248|248|248]
1767,182,(172|0),1.3999095,[3|3|3]
1753,359,(245|67),1.1096957,[54|54|54]
1767,196,(396|182),1.0313822,[244|244|244]
1767,3,(146|301),1.2132957,[234|234|234]
1767,321,(445|34),1.0636518,[210|210|210]
1753,190,(217|122),0.9898057,[248|248|248]
1764,218,(172|186),1.8341776,[1|1|1]
1764,246,(463|246),1.1053088,[2|2|2]
1767,359,(245|207),2.0795546,[0|0|0]
1764,35,(390|225),0.68298584,[1|1|1]
1764,354,(59|292),0.8747117,[201|201|201]
